iter	Passed	Remaining
313	1325	2895
314	1328	2889
315	1332	2884
316	1336	2878
317	1339	2873
318	1343	2867
319	1346	2862
320	1350	2856
321	1353	2850
322	1357	2845
323	1361	2839
324	1364	2834
325	1368	2829
326	1372	2823
327	1375	2818
328	1379	2813
329	1383	2807
330	1386	2802
331	1390	2797
332	1393	2791
333	1397	2786
334	1401	2781
335	1405	2776
336	1408	2771
337	1412	2766
338	1416	2761
339	1419	2756
340	1423	2751
341	1427	2746
342	1430	2740
343	1434	2735
344	1437	2729
345	1441	2724
346	1445	2719
347	1448	2714
348	1452	2709
349	1455	2703
350	1459	2698
351	1463	2693
352	1466	2688
353	1470	2683
354	1474	2678
355	1477	2673
356	1481	2668
357	1485	2663
358	1489	2658
359	1493	2654
360	1496	2649
361	1500	2644
362	1504	2639
363	1507	2633
364	1511	2629
365	1514	2623
366	1518	2618
367	1521	2613
368	1525	2608
369	1529	2603
370	1532	2598
371	1536	2593
372	1539	2588
373	1543	2583
374	1547	2578
375	1550	2573
376	1554	2568
377	1557	2563
378	1561	2558
379	1565	2553
380	1568	2548
381	1572	2543
382	1575	2538
383	1579	2533
384	1583	2528
385	1586	2524
386	1590	2519
387	1594	2514
388	1597	2509
389	1601	2504
390	1605	2500
391	1608	2495
392	1612	2490
393	1616	2486
394	1620	2481
395	1623	2476
396	1627	2471
397	1630	2466
398	1634	2461
399	1638	2457
400	1641	2452
401	1645	2448
402	1649	2443
403	1653	2438
404	1656	2433
405	1660	2429
406	1664	2424
407	1667	2419
408	1671	2414
409	1674	2410
410	1678	2405
411	1682	2401
412	1686	2396
413	1690	2392
414	1693	2387
415	1697	2382
416	1700	2378
417	1704	2373
418	1708	2368
419	1712	2364
420	1715	2359
421	1719	2354
422	1722	2350
423	1726	2345
424	1730	2340
425	1734	2336
426	1737	2331
